prompt,response,ground_truth
"What's the best mortgage option for first-time home buyers?","FHA loans are popular for first-time buyers, requiring only 3.5% down payment with credit scores as low as 580. They offer competitive interest rates and more lenient qualification requirements compared to conventional loans.","FHA loans are government-backed mortgages designed for first-time buyers, requiring 3.5% down payment for credit scores of 580+, or 10% for scores between 500-579. They include mortgage insurance premiums."
"How can I improve my credit score quickly?","To improve your credit score: 1) Pay all bills on time, 2) Reduce credit utilization below 30%, 3) Don't close old accounts, 4) Dispute any errors on your credit report, 5) Become an authorized user on a responsible person's account.","Improving credit score requires: paying bills on time (35% of score), keeping credit utilization under 30% (30% of score), maintaining old accounts for length of history (15%), limiting new credit inquiries (10%), and having diverse credit types (10%)."
"What are the current mortgage interest rates?","Current mortgage interest rates vary by lender and loan type, but as of now, 30-year fixed mortgages are typically around 6.5-7%, 15-year fixed are around 5.5-6%, and adjustable-rate mortgages (ARMs) start around 5-5.5%. Your actual rate depends on credit score, down payment, and lender.","Mortgage rates fluctuate daily based on market conditions. As of October 2025, average rates are: 30-year fixed: 6.75%, 15-year fixed: 6%, 5/1 ARM: 5.5%. Individual rates vary based on credit score, down payment, loan amount, and lender."
"Should I refinance my mortgage now?","Refinancing makes sense if: 1) Current rates are at least 1% lower than your existing rate, 2) You plan to stay in your home long enough to recoup closing costs (typically 2-3 years), 3) Your credit score has improved significantly, or 4) You want to switch from ARM to fixed-rate.","Refinancing is beneficial when you can lower your rate by 0.75-1%+ and will stay in the home long enough to break even on closing costs (typically 2-4 years). Consider your loan term, equity position, and financial goals. Calculate break-even point before deciding."
"What documents do I need for a mortgage application?","For a mortgage application, you'll need: 1) W-2s and pay stubs from the last 2 years, 2) Federal tax returns for 2 years, 3) Bank statements for 2-3 months, 4) Photo ID, 5) Proof of assets, 6) Employment verification letter, 7) Documentation of any other income sources.","Required mortgage documents include: 2 years W-2s and tax returns, 2-3 months bank statements, recent pay stubs, government-issued ID, proof of down payment source, employment verification, documentation of debts, and if self-employed, additional business financial statements."
"What is a good debt-to-income ratio for a mortgage?","Lenders typically prefer a debt-to-income (DTI) ratio below 43% for qualified mortgages, though some may go up to 50%. Your DTI is calculated by dividing your total monthly debt payments by your gross monthly income. A DTI below 36% is considered ideal.","Debt-to-income ratio requirements: Most lenders prefer DTI below 43% for qualified mortgages. FHA allows up to 43% back-end ratio. Conventional loans may accept up to 50% with compensating factors. Front-end ratio (housing only) should be below 28%. Lower DTI improves approval odds and rates."
"What's the difference between pre-qualification and pre-approval?","Pre-qualification is an informal estimate based on self-reported information, taking minutes to complete. Pre-approval is a formal process requiring documentation verification, credit check, and lender commitment, typically taking days. Pre-approval carries more weight with sellers.","Pre-qualification: Informal estimate based on unverified information, no credit check, non-binding, takes minutes. Pre-approval: Formal commitment requiring full documentation, hard credit check, verified income/assets, conditional approval letter, takes 1-3 days, shows sellers you're serious."
"How much house can I afford?","A general rule is the 28/36 rule: spend no more than 28% of gross monthly income on housing costs and 36% on total debt. On a $100k annual income, that's about $2,333/month for housing. Also maintain 3-6 months emergency fund and consider future expenses.","Affordability calculation: Housing costs should not exceed 28% of gross monthly income. Total debt payments should stay under 36%. Factor in down payment (ideally 20%), closing costs (2-5%), maintenance (1% annually), property taxes, insurance, and HOA fees. Use online calculators for accurate estimates."
"What is PMI and how can I avoid it?","PMI (Private Mortgage Insurance) is required when you put down less than 20% on a conventional loan, typically costing 0.5-1% of loan amount annually. You can avoid PMI by: 1) Putting down 20%+, 2) Using a piggyback loan (80-10-10), 3) Choosing a lender-paid option, or 4) Looking into VA loans if eligible.","PMI protects the lender if you default, required for conventional loans with <20% down. Costs 0.3-1.5% of loan amount annually. Avoid by: 20%+ down payment, VA/USDA loans (no PMI), piggyback loans (80-10-10 structure), or lender-paid PMI (higher rate). Request removal at 78% LTV on conventional loans."
"What are closing costs and who pays them?","Closing costs typically range from 2-5% of the loan amount and include appraisal fees, title insurance, attorney fees, origination charges, and prepaid taxes/insurance. Buyers usually pay most costs, but they're negotiable. Sellers may pay some costs to help close the deal.","Closing costs (2-5% of purchase price) include: Loan origination fee (0.5-1%), appraisal ($300-500), title insurance ($500-1,500), attorney fees ($500-1,500), inspections ($300-800), recording fees ($100-250), and prepaids (taxes, insurance, HOA). Buyer typically pays most; seller may contribute."
